data,Dis,V1,V2,V3,V4,V5
10/9/2017,0.126,0.094,13.2,11.347,89.651,16.552
10/23/2017,0.108,0.127,9.4,13.056,83.384,18.745
11/6/2017,2.008,0.126,49.6,10.571,79.964,104.861
11/20/2017,2.989,3.136,178.8,4.654,93.436,31.122
12/4/2017,7.777,4.111,96.2,-0.362,91.448,69.056
12/18/2017,5.159,11.966,169.6,2.2,81.119,9.532
1/1/2018,7.167,7.365,125.8,3.626,89.024,48.263
1/15/2018,5.238,4.852,105.8,1.415,89.488,40.218
1/29/2018,4.681,2.979,68.4,6.536,81.497,37.244
2/12/2018,2.449,3.574,185,1.228,90.47,32.861
2/26/2018,6.034,2.012,48.2,-1.656,95.262,80.326
3/12/2018,4.678,7.674,173.2,6.601,91.577,151.959
3/26/2018,4.394,3.484,138.4,0.747,81.119,29.833
4/9/2018,2.941,4.744,75.8,10.911,70.437,28.798
4/23/2018,2.645,2.497,35,16.225,80.048,22.606
5/7/2018,2.107,3.657,74,12.182,78.744,43.237
5/21/2018,1.307,2.148,50.8,13.61,83.054,49.505
6/4/2018,0.371,0.954,31,18.864,80.643,70.895
6/18/2018,0.496,0.573,45.2,16.749,77.068,26.203
7/2/2018,2.151,0.477,32.8,21.369,71.686,9.157
7/16/2018,0.307,4.096,27.8,22.262,73.113,21.69
7/30/2018,0.168,0.24,91.6,22.467,68.387,16.386
8/13/2018,0.132,0.147,47.2,22.532,69.895,44.43
8/27/2018,0.151,0.148,32,18.028,73.149,89.398
9/10/2018,0.11,0.176,32,17.692,78.928,43.557
9/24/2018,0.522,0.129,10.8,20.212,80.928,116.86
10/8/2018,0.091,0.955,57,11.654,80.523,58.522
10/22/2018,1.896,0.092,20.8,12.483,92.015,104.215
11/5/2018,0.666,3.641,150,10.706,87.113,4.156
11/19/2018,3.306,0.652,52,2.462,93.351,64.637
12/3/2018,1.631,2.541,101.8,2.868,94.937,32.308
12/17/2018,2.605,1.593,38.6,-1.517,88.548,46.542
12/31/2018,0.579,1.783,50.8,6.703,92.266,1.209
1/14/2019,0.585,0.46,0.6,2.035,81.324,43.096
1/28/2019,9.241,0.635,59.8,0.899,86.833,77.215
2/11/2019,1.594,4.78,197.6,5.103,90.216,4.93
2/25/2019,0.783,1.047,8,2.593,72.131,37.882
3/11/2019,0.976,0.774,8,7.644,61.624,32.673
3/25/2019,3.167,1.18,48.2,10.217,73.064,31.035
4/8/2019,2.51,5.036,99.8,6.151,75.817,69.881
4/22/2019,4.735,2.953,38.2,10.958,82.014,37.98
5/6/2019,6.781,4.581,168.8,7.765,81.899,60.978
5/20/2019,4.003,4.178,218.4,9.912,85.971,37.987
6/3/2019,1.642,4.719,124.6,14.89,84.56,31.637
6/17/2019,0.715,1.317,2.2,22.183,67.421,1.726
7/1/2019,0.36,0.555,14.4,24.379,71.384,31.15
7/15/2019,0.281,0.396,33.8,18.787,74.479,57.758
7/29/2019,0.149,0.353,52,21.024,73.708,28.394
8/12/2019,0.097,0.153,19.6,25.747,70.539,4.359
8/26/2019,0.141,0.074,12.6,18.685,75.113,64.826
9/9/2019,0.104,0.141,22.2,14.467,84.265,3.876
9/23/2019,0.227,0.115,29.4,12.335,80.512,38.419
10/7/2019,0.217,0.237,60.4,11.849,86.562,48.007
10/21/2019,0.365,0.222,51.8,13.783,85.369,58.865
11/4/2019,10.161,0.625,62,9.882,93.101,104.346
11/18/2019,7.799,12.891,199.4,6.638,89.845,21.661
12/2/2019,7.783,8.277,119.2,7.771,88.107,41.108
12/16/2019,4.691,5.726,136.6,5.769,92.095,15.014
12/30/2019,1.231,2.742,128.4,2.256,84.862,0.437
1/13/2020,0.697,1.013,0.2,4.267,85.923,101.028
1/27/2020,3.046,0.667,39,4.683,92.402,11.97
2/10/2020,1.409,2.667,25.4,5.371,70.622,20.187
2/24/2020,7.735,0.992,19,8.304,75.67,69.861
3/9/2020,1.967,12.859,204,3.717,76.274,5.15
3/23/2020,2.721,1.338,4.2,9.235,78.867,41.687
4/6/2020,1.372,3.525,56.4,6.533,78.773,3.843
4/20/2020,3.037,1.021,4.8,15.76,62.099,105.78
5/4/2020,1.12,2.226,109,12.221,73.214,33.577
5/18/2020,2.304,1.2,42.8,13.121,75.053,19.59
6/1/2020,1.263,1.274,76.6,10.16,76.084,48.662
