data,Dis,V1,V2,V3,V4,V5
7/6/2013,0.05136,0.135,23.2,24.161,68.792,3.444
7/20/2013,0.04085,0.038,0.6,26.143,65.261,5.857
8/3/2013,0.03234,0.052,20,17.572,63.14,14.568
8/17/2013,0.0315,0.05,13,20.168,72.759,43.704
8/31/2013,0.02472,0.021,12,23.132,74.414,15.739
9/14/2013,0.0285,0.024,17.8,16.549,68.732,29.397
9/28/2013,0.988,0.034,31,10.853,77.958,9.999
10/12/2013,2.31227,1.327,150.6,10.042,92.798,40.953
10/26/2013,1.8148,0.828,148,9.407,90.001,39.403
11/9/2013,1.02384,0.668,49.6,14.818,91.071,3.787
11/23/2013,2.19752,1.551,59.2,5.689,89.455,12.316
12/7/2013,0.4923,2.079,45.4,5.832,92.699,7.179
12/21/2013,0.55965,0.431,2.6,7.969,94.176,1.294
1/4/2014,5.5824,0.91,39.2,1.631,93.271,71.276
1/18/2014,1.1609,5.796,153.8,-1.271,83.646,18.687
2/1/2014,6.62208,0.957,4.2,6.444,83.086,52.748
2/15/2014,7.98408,12.55,195.8,4.111,79.455,42.581
3/1/2014,5.44215,4.276,244.2,3.951,89.068,71.161
3/15/2014,2.9466,4.026,159,2.015,88.039,26.21
3/29/2014,1.91352,3.03,45.4,7.578,82.705,28.379
4/12/2014,0.8216,1.561,20.2,9.356,83.717,6.139
4/26/2014,3.16479,0.689,35.8,8.753,70.095,32.568
5/10/2014,2.12908,5.146,108,11.926,82.131,58.466
5/24/2014,0.99632,2.244,72.4,14.018,79.595,42.904
6/7/2014,1.20482,0.737,37.8,13.728,71.292,57.135
6/21/2014,0.27918,1.192,64.2,14.011,79.354,16.252
7/5/2014,0.20056,0.169,20.6,21.863,70.764,5.051
7/19/2014,0.09408,0.322,53.2,15.34,69.762,7.514
8/2/2014,0.02178,0.107,33,22.847,72.613,43.081
8/16/2014,0.01674,0.02,13.2,17.767,73.613,4.733
8/30/2014,0.05828,0.02,1.6,21.054,68.241,64.905
9/13/2014,0.28595,0.09,34.4,17.986,77.289,77.22
9/27/2014,0.159,0.098,123.8,14.069,83.943,20.406
10/11/2014,0.87936,0.171,59.8,8.646,86.173,105.364
10/25/2014,2.14123,0.501,84.4,8.756,93.568,37.364
11/8/2014,5.81152,3.68,157.4,10.21,90.541,65.131
11/22/2014,1.738,5.837,155,10.249,89.548,68.21
12/6/2014,0.54972,1.035,18,5.319,89.381,7.471
12/20/2014,0.27784,0.407,1.2,0.6,93.461,19.221
1/3/2015,0.99435,0.25,8,3.554,86.902,10.618
1/17/2015,0.8261,0.713,65.6,0.242,83.318,52.643
1/31/2015,9.91416,0.824,35.2,1.468,92.795,17.949
2/14/2015,3.91637,8.607,177.4,1.114,90.179,11.007
2/28/2015,5.56738,5.252,69.6,4.128,82.622,64.279
3/14/2015,1.38516,6.973,104.4,7.183,72.473,57.535
